N› Lig;Quantit ? cd?e;Prix Unitaire;Qt? livr?e;Derni?re Livraison;"N›
commande";Produit
1;3000;470;3000;2007/03/15 00:00;70010;I100
2;2000;485;2000;2007/07/05 00:00;70010;I105
3;1000;680;1000;2007/08/20 00:00;70010;I108
4;200;40;250;2007/02/20 00:00;70010;D035
5;6000;3500;6000;2007/03/31 00:00;70010;P220
6;6000;2000;2000;2007/03/31 00:00;70010;P240
1;1000;600;1000;2007/05/16 00:00;70011;I105
1;200;140;0;2007/12/31 00:00;70020;B001
2;200;140;0;2007/12/31 00:00;70020;B002
1;1000;590;1000;2007/05/15 00:00;70025;I100
2;500;590;500;2007/05/15 00:00;70025;I105
1;1000;470;1000;2007/07/15 00:00;70210;I100
2;10000;3500;10000;2007/08/31 00:00;70210;P220
1;50;790;50;2007/10/31 00:00;70300;I110
1;15000;4900;12000;2007/12/15 00:00;70250;P230
2;10000;3350;10000;2007/11/10 00:00;70250;P220
1;200;600;200;2007/11/01 00:00;70620;I105
1;1000;470;1000;2007/10/15 00:00;70625;I100
2;10000;3500;10000;2007/10/31 00:00;70625;P220
1;200;140;0;2007/12/31 00:00;70629;B001
2;200;140;0;2007/12/31 00:00;70629;B002
